total_trades,trade_count_long,trade_count_short,profit_total,profit_total_abs,cagr,sharpe,sortino,calmar,sqn,profit_factor,expectancy,expectancy_ratio,winrate,wins,losses,draws,max_drawdown_account,max_drawdown_abs,market_change,starting_balance,final_balance,trades_per_day,strategy_id,source
2727,2727,0,0.24003005708,240.03005708,0.0589916205074,0.320096111311,0.518204301107,0.53300473544,0.4395,1.02422122727,0.0880198229116,0.0155968005431,0.356068940227,971,1756,0,0.628001131139,1580.23760952,,1000,1240.03005708,1.99051094891,AlligatorStrat,baseline
1019,1019,0,3.66191630121,3661.91630121,0.507027549046,0.906580373239,2.70274925014,12.0000920914,2.0355,1.29384345337,3.59363719451,0.196952972181,0.329735034347,336,683,0,0.425549122913,3002.71329342,,1000,4661.91630121,0.743795620438,AlligatorStrategy,baseline
9621,4987,4634,-0.9395830111,-939.5830111,-0.526551975469,-6.12663331654,-4.69857443639,-1.3889810512,-4.4788,0.858413211275,-0.097659599948,-0.034053822795,0.759484461075,7307,2314,0,0.943332288101,984.18155754,,1000,60.4169889,7.02262773723,AlmgrenChrissStrategy,baseline
12599,12599,0,-0.94407394061,-944.07394061,-0.536195267959,-24.2242619053,-23.2277281206,-1.39306277295,-15.4753,0.650089734717,-0.0749324502429,-0.114666245239,0.672593062942,8474,4123,2,0.945063930975,954.99623067,,1000,55.92605939,9.19635036496,AntigravityGridStrategy,baseline
3575,3575,0,-0.69818558112,-698.18558112,-0.273240730599,-1.03654768266,-0.862783560534,-1.09626426788,-1.243,0.935225083902,-0.195296666048,-0.0115417123229,0.821818181818,2938,637,0,0.888140105594,1921.52813465,,1000,301.81441888,2.60948905109,Apollo11,baseline
1518,1518,0,2.03099270677,2030.99270677,0.343709735541,0.801374112876,2.16680162335,5.01086473147,1.4745,1.15174595159,1.33793985953,0.108861226139,0.282608695652,429,1089,0,0.565225243792,2901.12305593,,1000,3030.99270677,1.10802919708,AverageStrategy,baseline
2690,2690,0,-0.2835738858,-283.5738858,-0.0850143558375,-0.573076101039,-0.908557279586,-0.637569798683,-0.7922,0.955554382542,-0.105417801413,-0.026898685956,0.394795539033,1062,1628,0,0.620246557942,1086.75697603,,1000,716.4261142,1.96350364964,AwesomeMacd,baseline
1600,1600,0,0.17698866718,176.98866718,0.0443724065801,0.0965764113173,0.07739218504,0.318207434198,0.1731,1.01599788492,0.110617916987,0.00591921742175,0.63,1008,592,0,0.775641436718,3023.65044199,,1000,1176.98866718,1.16788321168,BB10fall,baseline
615,615,0,0.68902518277,689.02518277,0.149866921486,0.688682441809,0.44254926659,3.35902898263,1.9898,1.33890580541,1.12036615085,0.0732918245836,0.783739837398,482,133,0,0.28605346248,507.44242277,,1000,1689.02518277,0.448905109489,BBKCBounce,baseline
4470,4470,0,1.21113104368,1211.13104368,0.235416357753,2.33210396365,2.29497229047,5.8880831822,2.501,1.14756055674,0.27094654221,0.0519011452115,0.646532438479,2890,1579,1,0.286842212989,739.24035957,,1000,2211.13104368,3.26277372263,BBMod,baseline
433,433,0,-0.12122522182,-121.22522182,-0.0338430608816,-0.256887854872,-0.152127896878,-0.639274292158,-0.8842,0.685454469787,-0.279965870254,-0.100247767135,0.68129330254,295,138,0,0.264442718141,298.40305508,,1000,878.77477818,0.316058394161,BBRSI,baseline
3157,3157,0,0.80992451451,809.92451451,0.17124234521,1.00067743684,0.549540995581,1.86841792958,1.2769,1.18880653807,0.256548785084,0.0456915410482,0.757998099462,2393,764,0,0.604500108472,1809.23492779,,1000,1809.92451451,2.30437956204,BBRSI21,baseline
11710,11710,0,-0.79593629059,-795.93629059,-0.345204809713,-3.08433455243,-1.88511276596,-1.22727333633,-2.0438,0.927553822453,-0.0679706482143,-0.0139695532794,0.807173356106,9452,2258,0,0.904404829811,1442.81297405,,1000,204.06370941,8.54744525547,BBRSINaiveStrategy,baseline
24035,24035,0,-0.94557443957,-945.57443957,-0.539543756122,-9.86732244683,-8.64901798008,-1.37789191277,-4.564,0.867156705906,-0.039341561871,-0.0593663333417,0.553110047847,13294,10741,0,0.956987880748,1208.46462497,,1000,54.42556043,17.5437956204,BBRSIOptim2020Strategy,baseline
6580,6580,0,0.8552052189,855.2052189,0.178978503064,0.390531759777,0.228934074463,1.44946308634,0.3452,1.03629927286,0.129970398009,0.0103265499702,0.706838905775,4651,1927,2,0.822790081897,7373.14512258,,1000,1855.2052189,4.80291970803,BBRSIOptimStrategy,baseline
