strategy_id,regimes_covered,worst_regime,worst_regime_return,median_regime_excess_return,regime_consistency
keltnerchannel,4,BULL,-0.00464874758721,-0.0029313138622,0
AdxSmasS,4,BEAR,-0.00467956553645,-0.000501901429107,0.5
FFT,4,BULL,-0.00474551382738,-0.00374316904445,0
ichi,4,TRANSITION,-0.00490017362602,-0.00465266329921,0
CombinedBinHAndCluc2021Bull,4,SIDEWAYS,-0.00492646326443,0.00033478180978,0.5
NFINextMultiOffsetAndHO,4,SIDEWAYS,-0.00498521724088,-0.00337327288507,0
TrixV23Strategy,4,BEAR,-0.00517943430532,-0.00407685568912,0
KC_BB,4,TRANSITION,-0.00520229881737,-0.00125641494126,0
BinHV27_short,4,BEAR,-0.00528778213258,-0.00309943500475,0
NormalizerStrategyHO2,4,BULL,-0.00564023686545,-0.00458297491892,0
BB_RPB_TSL_RNG,4,TRANSITION,-0.00575934328264,-0.00537810392327,0.25
BB_RPB_TSL_RNG_TBS,4,TRANSITION,-0.00575934328264,-0.00537810392327,0.25
RSIBB02,4,BULL,-0.00583017355296,-0.00347903131947,0.25
BB_RPB_TSL_RNG_2,4,SIDEWAYS,-0.00583872453956,-0.0052672481455,0.25
TrixV21Strategy,4,BEAR,-0.00596296251446,-0.00527489806781,0
PRICEFOLLOWING,4,BULL,-0.00610831244502,-0.00261523622987,0
true_lambo,4,BEAR,-0.00620483440262,0.00127422801684,0.5
BinClucMadV1,4,BEAR,-0.00656322473646,3.50024981376e-06,0.5
eltoro1_4_simple,4,SIDEWAYS,-0.00671838037336,-0.000216892771493,0.25
MabStra,4,BEAR,-0.00673642062537,-0.00577689108515,0
mabStra,4,BEAR,-0.00673642062537,-0.00577689108515,0
Momentumv2,4,TRANSITION,-0.00674161999326,-0.00461331484293,0
BinClucMadDevelop,4,BEAR,-0.00695864328087,-0.00129177323167,0.5
BBMod,4,SIDEWAYS,-0.00708113343293,-0.00380377916729,0
ClucMay72018,4,SIDEWAYS,-0.007163687704,-0.00119448951682,0.5
FAdxSmaStrategy,4,BULL,-0.00740337248147,-0.0052460165611,0.25
EMAPriceCrossoverWithThreshold,4,BULL,-0.00753866238655,-0.00626020911538,0
SMAOffset,4,SIDEWAYS,-0.00769669666535,-4.07235885867e-05,0.5
VWAP,4,SIDEWAYS,-0.00776795944757,-0.000803158025587,0.5
CombinedBinHAndCluc2021,4,SIDEWAYS,-0.00790316043022,-0.00309960453655,0
BigZ04_TSL4,4,SIDEWAYS,-0.00815767610028,-0.00752174551673,0
BigZ04_TSL3,4,SIDEWAYS,-0.00819416005376,-0.00753673021752,0
BBRSI,4,SIDEWAYS,-0.0083833069891,0.000963417507956,0.5
BinHV27F,4,SIDEWAYS,-0.00841037704376,-0.00519067767797,0
CombinedBinHAndCluc,4,SIDEWAYS,-0.00868592958899,-0.00323251608732,0
TheRealPullbackV2,4,TRANSITION,-0.00884509235628,-0.00649498892256,0
FastSupertrend_ts_origstop_fix,4,BEAR,-0.00887916424861,-0.00155460148271,0.25
BB_RPB_TSL_RNG_VWAP,4,TRANSITION,-0.00890117704312,-0.0047799591344,0.25
DWT_short,4,SIDEWAYS,-0.0089713126713,-0.00647020413068,0
GKD_FisherTransformMTF,4,BULL,-0.00984078561595,-0.00593686169451,0
JustROCR3,4,TRANSITION,-0.0100668789425,-0.00995495169744,0
Obelisk_TradePro_Ichi_v1_1,4,BULL,-0.010161279348,-0.00702396431727,0
MFI2,4,TRANSITION,-0.0107973912594,-0.00250002026243,0.5
BuyOrDie,4,BULL,-0.0108473091502,-0.0101948507369,0
HilbertSineWave,4,BEAR,-0.0116897247722,-0.0106268567441,0
WTHO,4,BEAR,-0.0118284630939,-0.00958801493935,0
BinClucMadSMADevelop,4,TRANSITION,-0.0120099767522,-0.00611877692397,0.25
BB_RPB_TSL_RNG_TBS_GOLD,4,SIDEWAYS,-0.0124606009557,-0.00636605847198,0
FBB_DWT,4,BEAR,-0.0131149063677,-0.0080439770749,0
AlmgrenChrissStrategy,4,BEAR,-0.0132329188857,-0.0109117111607,0
TDSequentialStrategy,4,BULL,-0.013267179317,-0.00973053115253,0
Ichimoku_SenkouSpanCross,4,BULL,-0.0136192668011,-0.00251387261782,0
FOttStrategy,4,BULL,-0.0138799940656,-0.00358013634863,0.25
Candle2,4,BEAR,-0.0141614860953,-0.0131358902002,0
RegimeFilterStrategy,4,BEAR,-0.014752237167,-0.00423357158241,0.5
bb_rsi_opt_new,4,SIDEWAYS,-0.0150510129922,-0.00308601154484,0.5
JustROCR,4,TRANSITION,-0.016756547955,-5.67939837572e-05,0.5
Minmax,4,BULL,-0.018412100691,-0.0138427576268,0
HEAD_SHOULDER,4,TRANSITION,-0.0210127985002,-0.0104409056624,0.25
MACD9fall,4,SIDEWAYS,-0.0269676597389,-0.00239817073565,0.5
ToTheMoon,4,TRANSITION,-0.0294276648094,-0.0198341403947,0.25
FSampleStrategy,4,BULL,-0.0300281894054,-0.0259774548489,0
SmaRsiStrategy,4,BULL,-0.0304379154039,-0.00620395241698,0.25
VolatilitySystem,4,BEAR,-0.059404574361,-0.00678225303626,0.25
AdaptiveRegime,4,BULL,-0.0806692100045,-0.0392843747404,0
FLAGS,4,TRANSITION,-0.0932973447646,-0.0093422090315,0.25
TrendFutures,4,BEAR,-0.101072725419,-0.0438965534507,0
VolatilitySystemV2,4,BEAR,-0.108601858008,-0.0207340945269,0
