strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd
ADXMomentum,17,-14.9690607946,17,-58.8070080691,43.8379472744
JustROCR2,35,-22.0369657003,35,0,-22.0369657003
FastSupertrend_ts_origstop_fix,1138,-38.2433616213,1138,4410.25187734,-4448.49523897
BigZ07Next2,463,-47.7086677657,463,61.4440173064,-109.152685072
NostalgiaForInfinityNextGen_TSL,32,-60.1136390728,32,-275.022930475,214.909291402
RSIDirectionalWithTrendSlow,192,-67.4800035501,192,1616.41010224,-1683.89010579
MACDStrategyXRP,1583,-74.0847692757,1583,1718.85302048,-1792.93778976
StarRise_strat,53,-81.2729107204,53,-184.543769754,103.270859033
RSI,65,-99.7893636513,65,-56.7011341384,-43.0882295129
KeltnerBounce,6,-105.519655504,6,-73.4246786299,-32.0949768745
twinturboV8_2,22,-107.419029501,22,-158.756727009,51.3376975074
Slowbro,20,-162.654382875,20,-176.793419136,14.1390362604
TouchEmaStrategy,497,-197.382090161,497,127.186333807,-324.568423968
MACDStrategySOL,703,-214.80280706,703,413.952138542,-628.754945602
ReinforcedSmoothScalp,238,-219.781717779,238,-44.28731653,-175.494401249
BB_RPB_TSL_c7c477d_20211030,81,-223.489456466,81,28.1216467497,-251.611103215
CBPete9,765,-226.874275694,765,-449.635297533,222.761021839
TrixStrategy,4464,-235.640488076,4464,7671.54421617,-7907.18470425
Babico_SMA5xBBmid,7,-235.670915907,7,-221.635478601,-14.035437306
KC_BB,139,-241.390807428,139,7.8538239509,-249.244631379
ClucMay72018,415,-242.625032927,415,385.052894129,-627.677927056
BinMfiBTCv5003,43,-268.426631353,43,-142.434588383,-125.99204297
SmartMoneyStrategyHyperopt,42,-270.697587079,42,-186.546505204,-84.1510818754
BBRSIv2,134,-330.362079955,134,-362.135679564,31.7735996091
MACDStrategyENJ,758,-347.069093474,758,294.599690086,-641.668783559
RsiDivergenceStrategy,150,-357.094616534,150,8.88964336614,-365.9842599
Chispei,1383,-377.45507634,1383,-8123.50772187,7746.05264553
chispei,1383,-377.45507634,1383,-8123.50772187,7746.05264553
BB_RPB_TSL_RNG_TBS_GOLD,153,-398.52063625,153,602.034337617,-1000.55497387
adxbbrsi2,226,-432.968142766,226,-1083.46988775,650.501744983
JustROCR,183,-434.076793869,183,-105.052211376,-329.024582493
NFI46Z,157,-454.342357571,157,-514.550659024,60.2083014534
INSIDEUP,67,-458.480436219,67,-2094.906314,1636.42587778
wavetrend_rsi,448,-485.072635923,448,-2275.05216027,1789.97952435
PRICEFOLLOWINGX,313,-507.748780205,313,-1046.21275146,538.46397126
FiveMinCrossAbove,156,-514.097542025,156,-546.711286438,32.6137444127
HansenSmaOffsetV1,25,-516.354918195,25,-526.00402029,9.64910209517
ADXDM,346,-524.663293135,346,-125.584402725,-399.078890409
SlowPotato,283,-547.62194484,283,53.057558725,-600.679503565
Inverse,640,-595.27942171,640,1348.18145252,-1943.46087423
RsiBollingerStrategy,919,-638.340265242,919,1351.29083518,-1989.63110042
CCI_BB,50,-646.65288062,50,-712.261437119,65.6085564996
Uptrend,152,-652.562855021,152,-922.760754257,270.197899236
RSIDirectionalWithTrend,297,-660.877890232,297,191.549968363,-852.427858596
MACDCrossoverWithTrend,463,-696.85386149,463,253.275944815,-950.129806305
ONUR,30,-731.235264422,30,-981.058486464,249.823222042
FFT,946,-783.999986265,946,2685.0487758,-3469.04876207
eltoro1_4_simple,604,-789.449438664,604,353.512952758,-1142.96239142
NDrop,2644,-864.035432823,2644,6.09899797185,-870.134430795
Test_MAMA4,2449,-885.718139983,2449,6079.37869783,-6965.09683781
StochasticCciStrategy,468,-895.419587877,468,155.20190472,-1050.6214926
AlligatorStrat,1673,-1007.28160719,1673,-5927.60359216,4920.32198498
FrostAuraM11hStrategy,652,-1078.5294468,652,-3734.05956026,2655.53011346
Hacklemore2,84,-1153.18250075,84,-1333.25556959,180.073068846
LeoStrategy,534,-1277.08975006,534,-2476.09760376,1199.0078537
MACDStrategyADA,1576,-1394.37105685,1576,60.6390659917,-1455.01012284
BuyOnly,903,-1408.85705838,903,-1801.95429938,393.097241007
NSeq,1585,-1510.58928568,1585,-799.489220905,-711.10006477
TrixV23Strategy,462,-1544.71313516,462,345.850623613,-1890.56375877
hlhb,277,-1574.83282856,277,-3824.67214203,2249.83931347
TrixV15Strategy,485,-1583.52290846,485,-2100.01920562,516.496297161
FastSupertrendOpt,2058,-1587.01812821,2058,-12914.9761222,11327.957994
FAdxSmaStrategy,300,-1613.91313333,300,-482.557414713,-1131.35571862
Strategy004,1832,-1656.49938426,1832,2070.82263066,-3727.32201492
FVGChannel,1035,-1713.64968934,1035,-1695.87272482,-17.7769645167
bb_rsi_opt_new,124,-1723.36565733,124,-961.032426642,-762.33323069
AdxSmasS,1567,-1730.55333445,1567,761.617248161,-2492.17058261
TrendAtrStrategy,906,-1732.67289197,906,-1980.04172216,247.368830199
FSupertrendStrategy,2570,-1754.78301047,2570,-15113.5855291,13358.8025186
RegimeFilterStrategy,1057,-1803.88518521,1057,3020.17220403,-4824.05738924
MabStra,1274,-1881.76693892,1274,5749.13797168,-7630.9049106
mabStra,1274,-1881.76693892,1274,5749.13797168,-7630.9049106
MACD003,1400,-1883.90736699,1400,-539.330742296,-1344.57662469
TrixV21Strategy,376,-1945.47656942,376,-129.990854047,-1815.48571537
RSIBB02,227,-1999.7363014,227,-1511.24664213,-488.489659274
MFIRSICross,3467,-2057.97726071,3467,-1883.76787615,-174.209384568
MACD_TRIPLE_MA,1202,-2061.78917863,1202,308.88622383,-2370.67540246
MACDStrategyAVAX,993,-2123.29584171,993,-343.988280715,-1779.307561
BBRSI21,1647,-2173.15169655,1647,-527.124074078,-1646.02762247
BBRSIoriginal,1250,-2195.57418056,1250,-3281.77897925,1086.20479869
CofiBitStrategy,993,-2205.73840783,993,-314.017079743,-1891.72132809
Strategy003,1202,-2216.7633188,1202,-253.273766263,-1963.48955254
BB_Strategy04,971,-2286.1457343,971,-3880.39595193,1594.25021763
