strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd,source
NFINextMultiOffsetAndHO,656,7651.40082418,656,8224.33858105,-572.937756867,baseline
BB_RTR,598,7618.13727171,598,3187.74486496,4430.39240675,baseline
BBMod,4470,7602.9640158,4470,18038.5757774,-10435.6117616,baseline
UniversalMACD,1163,7599.97023188,1163,5866.31801463,1733.65221726,baseline
TemaMaster3,1119,7595.99451837,1119,14593.4716051,-6997.47708678,baseline
HourBasedStrategy_5m,6436,7557.18605356,6436,27360.1705163,-19802.9844627,baseline
WTDMIPRICESDCAtrategy,751,7510.26992093,751,-886.315691464,8396.5856124,baseline
adaptive_trend,45,7425.14215609,45,7525.01397616,-99.8718200707,baseline
NASOSv5_mod3,358,7362.56246687,358,1394.42729307,5968.1351738,baseline
NFI5MOHO_WIP_1,532,7326.14418637,532,4321.38182835,3004.76235802,baseline
NASOSv4,770,7254.04289651,770,30.0738176568,7223.96907885,baseline
E0V1E_protections,226,7207.79859866,226,5496.59044895,1711.20814971,baseline
E0V1E,226,7207.79859866,226,5496.59044895,1711.20814971,baseline
NFI5MOHO_WIP,519,7206.52768224,519,6331.44392758,875.083754665,baseline
Combined_NFIv6_SMA,546,7137.31752156,546,5207.7318811,1929.58564046,baseline
Ichess,191,7121.4856267,191,5644.7496289,1476.7359978,baseline
ElliotV5HOMod2,299,7101.44385704,299,4313.10393723,2788.33991981,baseline
BinClucMadSMADevelop,673,7051.91958354,673,4429.79346374,2622.12611979,baseline
NostalgiaForInfinityV7_SMA,532,6914.686878,532,4905.89803845,2008.78883955,baseline
Combined_NFIv7_SMA,532,6914.686878,532,4905.89803845,2008.78883955,baseline
CombinedBinHAndClucV5Hyperoptable,1593,6878.88156241,1593,3035.86354028,3843.01802213,baseline
BinClucMadV1,685,6858.13012963,685,3472.21788577,3385.91224386,baseline
NFINextMOHO,860,6808.47897038,860,7906.33495293,-1097.85598255,baseline
