strategy_id,btc_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ClucHAnix_5m_old,TRANSITION,517,517,0,224.31853483,0.00218742083757,305,1003.34282741,779.02429258,120.473887814,124,1.2879480614,0.589941972921
ClucHAwerk,BEAR,2959,2959,0,-497.02985668,-0.00405562561538,1195,343.43256924,840.46242592,12.0294018249,177,0.408623346682,0.403852652923
ClucHAwerk,BULL,3579,3579,0,-363.72054914,-0.00247752261263,1321,742.06137873,1105.78192787,21.7602682313,256,0.671073889008,0.369097513272
ClucHAwerk,SIDEWAYS,789,789,0,-3.69612085,-0.00198238661444,319,138.58935857,142.28547942,29.5804816223,108,0.974023204159,0.404309252218
ClucHAwerk,TRANSITION,1642,1642,0,-101.49706376,-0.0026818455431,651,296.70230406,398.19936782,19.0097442144,133,0.745109932455,0.39646772229
CombinedBinHAndClucV3,BEAR,597,597,0,267.01968027,0.000650627315615,496,2128.28381862,1861.26413835,512.822445561,154,1.14346146512,0.830820770519
CombinedBinHAndClucV3,BULL,784,784,0,1101.09201922,0.0081526519129,690,2445.64280852,1344.5507893,326.581632653,186,1.818929287,0.880102040816
CombinedBinHAndClucV3,SIDEWAYS,259,259,0,347.72504684,0.00535043232514,221,959.10149485,611.37644801,545.637065637,92,1.56875767454,0.853281853282
CombinedBinHAndClucV3,TRANSITION,411,411,0,505.68123476,0.0045491431144,331,1347.50743262,841.82619786,564.075425791,118,1.60069553079,0.805352798054
CombinedBinHAndClucV6,BEAR,215,215,0,-49.44169245,-0.00106123122425,106,435.45273686,484.89442931,401.720930233,117,0.89803617146,0.493023255814
CombinedBinHAndClucV6,BULL,665,665,0,273.11306058,0.00277155993575,390,1313.91071454,1040.79765396,355.421052632,250,1.26240745215,0.586466165414
CombinedBinHAndClucV6,SIDEWAYS,287,287,0,270.6323618,0.00569780811898,156,645.36751874,374.73515694,633.728222997,140,1.72219634798,0.543554006969
CombinedBinHAndClucV6,TRANSITION,245,245,0,-31.69712893,-0.000312731300369,125,454.56470993,486.26183886,449.06122449,116,0.934814689542,0.510204081633
CombinedBinHAndClucV7,BEAR,115,115,0,67.86163863,0.00402628111022,77,246.92561163,179.063973,209.304347826,72,1.3789798556,0.669565217391
CombinedBinHAndClucV7,BULL,369,369,0,347.81631314,0.00592187916741,271,789.7217706,441.90545746,179.33604336,149,1.78708309044,0.734417344173
CombinedBinHAndClucV7,SIDEWAYS,112,112,0,170.0686364,0.0093025677075,89,250.99514545,80.92650905,258.348214286,66,3.10151949462,0.794642857143
CombinedBinHAndClucV7,TRANSITION,122,122,0,21.0503229,0.00141629023417,79,231.51888444,210.46856154,221.106557377,63,1.10001647156,0.647540983607
CombinedBinHClucAndMADV3,BEAR,447,447,0,610.517187,0.00310363849093,323,1651.84601057,1041.32882357,78.0760626398,102,1.5862866495,0.7225950783
CombinedBinHClucAndMADV3,BULL,528,528,0,1451.78829249,0.0131893462901,455,2041.1306848,589.34239231,68.5416666667,122,3.4634038064,0.861742424242
CombinedBinHClucAndMADV3,SIDEWAYS,159,159,0,86.72025984,0.00366790378534,113,641.2946228,554.57436296,132.201257862,54,1.15637264474,0.710691823899
CombinedBinHClucAndMADV3,TRANSITION,257,257,0,220.88611828,0.00443757231244,180,899.19227432,678.30615604,113.949416342,84,1.32564368805,0.700389105058
CombinedBinHClucAndMADV5,BEAR,265,265,0,340.99128737,0.00733329740381,222,619.252228,278.26094063,83.2452830189,98,2.22543712602,0.837735849057
CombinedBinHClucAndMADV5,BULL,600,600,0,585.2225383,0.00526773174876,493,1130.9663888,545.7438505,114.316666667,221,2.07233922611,0.821666666667
CombinedBinHClucAndMADV5,SIDEWAYS,292,292,0,124.30587535,0.00190290168676,227,411.88827132,287.58239597,217.876712329,138,1.43224438315,0.777397260274
CombinedBinHClucAndMADV5,TRANSITION,229,229,0,51.39417344,0.00167043549824,173,376.63241268,325.23823924,163.624454148,108,1.15802008263,0.755458515284
CombinedBinHClucAndMADV6,BEAR,260,260,0,443.1402186,0.00910739574559,217,744.74489708,301.60467848,85.0384615385,97,2.46927501534,0.834615384615
CombinedBinHClucAndMADV6,BULL,588,588,0,648.12945437,0.00572812582623,479,1284.84360404,636.71414967,116.641156463,221,2.01792846084,0.81462585034
CombinedBinHClucAndMADV6,SIDEWAYS,289,289,0,124.37528034,0.00182756002564,224,435.6465276,311.27124726,220.484429066,138,1.39957201777,0.77508650519
CombinedBinHClucAndMADV6,TRANSITION,224,224,0,72.89107511,0.00209079554348,168,423.22078339,350.32970828,167.96875,107,1.20806421319,0.75
CombinedBinHClucAndMADV9,BEAR,501,501,0,466.47227124,0.00449990544527,411,1261.07619528,794.60392404,99.1417165669,154,1.58705004736,0.820359281437
CombinedBinHClucAndMADV9,BULL,767,767,0,875.7618311,0.00558958845494,649,1757.74310185,881.98127075,164.413298566,261,1.99294833138,0.846153846154
CombinedBinHClucAndMADV9,SIDEWAYS,494,494,0,117.80239526,0.00110286806598,402,853.64587602,735.84348076,277.439271255,188,1.16009164767,0.813765182186
CombinedBinHClucAndMADV9,TRANSITION,487,487,0,-116.31849003,-0.000206409423817,384,910.37513297,1026.693623,252.289527721,171,0.886705744124,0.788501026694
