pair,episode_id,regime,start,end,days
BTC_GLOBAL,118,SIDEWAYS,2023-09-17T00:00:00Z,2023-10-04T00:00:00Z,18
BTC_GLOBAL,119,TRANSITION,2023-10-05T00:00:00Z,2023-10-07T00:00:00Z,3
BTC_GLOBAL,120,BULL,2023-10-08T00:00:00Z,2023-10-11T00:00:00Z,4
BTC_GLOBAL,121,TRANSITION,2023-10-12T00:00:00Z,2023-10-14T00:00:00Z,3
BTC_GLOBAL,122,SIDEWAYS,2023-10-15T00:00:00Z,2023-10-16T00:00:00Z,2
BTC_GLOBAL,123,TRANSITION,2023-10-17T00:00:00Z,2023-10-18T00:00:00Z,2
BTC_GLOBAL,124,BULL,2023-10-19T00:00:00Z,2023-12-26T00:00:00Z,69
BTC_GLOBAL,125,BEAR,2023-12-27T00:00:00Z,2023-12-28T00:00:00Z,2
BTC_GLOBAL,126,TRANSITION,2023-12-29T00:00:00Z,2024-01-05T00:00:00Z,8
BTC_GLOBAL,127,SIDEWAYS,2024-01-06T00:00:00Z,2024-01-23T00:00:00Z,18
BTC_GLOBAL,128,TRANSITION,2024-01-24T00:00:00Z,2024-01-29T00:00:00Z,6
BTC_GLOBAL,129,SIDEWAYS,2024-01-30T00:00:00Z,2024-02-12T00:00:00Z,14
BTC_GLOBAL,130,TRANSITION,2024-02-13T00:00:00Z,2024-02-14T00:00:00Z,2
BTC_GLOBAL,131,BULL,2024-02-15T00:00:00Z,2024-03-19T00:00:00Z,34
BTC_GLOBAL,132,BEAR,2024-03-20T00:00:00Z,2024-03-25T00:00:00Z,6
BTC_GLOBAL,133,BULL,2024-03-26T00:00:00Z,2024-03-30T00:00:00Z,5
BTC_GLOBAL,134,TRANSITION,2024-03-31T00:00:00Z,2024-04-05T00:00:00Z,6
BTC_GLOBAL,135,SIDEWAYS,2024-04-06T00:00:00Z,2024-04-17T00:00:00Z,12
BTC_GLOBAL,136,TRANSITION,2024-04-18T00:00:00Z,2024-04-30T00:00:00Z,13
BTC_GLOBAL,137,BEAR,2024-05-01T00:00:00Z,2024-05-07T00:00:00Z,7
BTC_GLOBAL,138,TRANSITION,2024-05-08T00:00:00Z,2024-05-14T00:00:00Z,7
BTC_GLOBAL,139,SIDEWAYS,2024-05-15T00:00:00Z,2024-05-18T00:00:00Z,4
BTC_GLOBAL,140,TRANSITION,2024-05-19T00:00:00Z,2024-05-31T00:00:00Z,13
BTC_GLOBAL,141,SIDEWAYS,2024-06-01T00:00:00Z,2024-06-04T00:00:00Z,4
BTC_GLOBAL,142,TRANSITION,2024-06-05T00:00:00Z,2024-06-12T00:00:00Z,8
BTC_GLOBAL,143,SIDEWAYS,2024-06-13T00:00:00Z,2024-06-21T00:00:00Z,9
BTC_GLOBAL,144,TRANSITION,2024-06-22T00:00:00Z,2024-06-25T00:00:00Z,4
BTC_GLOBAL,145,BEAR,2024-06-26T00:00:00Z,2024-07-15T00:00:00Z,20
BTC_GLOBAL,146,BULL,2024-07-16T00:00:00Z,2024-07-27T00:00:00Z,12
BTC_GLOBAL,147,TRANSITION,2024-07-28T00:00:00Z,2024-07-29T00:00:00Z,2
BTC_GLOBAL,148,BULL,2024-07-30T00:00:00Z,2024-07-30T00:00:00Z,1
BTC_GLOBAL,149,TRANSITION,2024-07-31T00:00:00Z,2024-08-06T00:00:00Z,7
BTC_GLOBAL,150,BEAR,2024-08-07T00:00:00Z,2024-08-21T00:00:00Z,15
BTC_GLOBAL,151,TRANSITION,2024-08-22T00:00:00Z,2024-08-29T00:00:00Z,8
BTC_GLOBAL,152,SIDEWAYS,2024-08-30T00:00:00Z,2024-09-01T00:00:00Z,3
BTC_GLOBAL,153,TRANSITION,2024-09-02T00:00:00Z,2024-09-08T00:00:00Z,7
BTC_GLOBAL,154,BEAR,2024-09-09T00:00:00Z,2024-09-10T00:00:00Z,2
BTC_GLOBAL,155,TRANSITION,2024-09-11T00:00:00Z,2024-09-15T00:00:00Z,5
BTC_GLOBAL,156,SIDEWAYS,2024-09-16T00:00:00Z,2024-09-26T00:00:00Z,11
BTC_GLOBAL,157,TRANSITION,2024-09-27T00:00:00Z,2024-10-05T00:00:00Z,9
BTC_GLOBAL,158,SIDEWAYS,2024-10-06T00:00:00Z,2024-10-20T00:00:00Z,15
BTC_GLOBAL,159,TRANSITION,2024-10-21T00:00:00Z,2024-10-25T00:00:00Z,5
BTC_GLOBAL,160,SIDEWAYS,2024-10-26T00:00:00Z,2024-10-29T00:00:00Z,4
BTC_GLOBAL,161,TRANSITION,2024-10-30T00:00:00Z,2024-11-09T00:00:00Z,11
BTC_GLOBAL,162,BULL,2024-11-10T00:00:00Z,2024-12-20T00:00:00Z,41
BTC_GLOBAL,163,BEAR,2024-12-21T00:00:00Z,2025-01-02T00:00:00Z,13
BTC_GLOBAL,164,TRANSITION,2025-01-03T00:00:00Z,2025-01-05T00:00:00Z,3
BTC_GLOBAL,165,SIDEWAYS,2025-01-06T00:00:00Z,2025-02-05T00:00:00Z,31
BTC_GLOBAL,166,TRANSITION,2025-02-06T00:00:00Z,2025-02-09T00:00:00Z,4
BTC_GLOBAL,167,BEAR,2025-02-10T00:00:00Z,2025-03-24T00:00:00Z,43
BTC_GLOBAL,168,BULL,2025-03-25T00:00:00Z,2025-03-26T00:00:00Z,2
BTC_GLOBAL,169,BEAR,2025-03-27T00:00:00Z,2025-03-27T00:00:00Z,1
BTC_GLOBAL,170,TRANSITION,2025-03-28T00:00:00Z,2025-04-03T00:00:00Z,7
BTC_GLOBAL,171,SIDEWAYS,2025-04-04T00:00:00Z,2025-04-25T00:00:00Z,22
BTC_GLOBAL,172,TRANSITION,2025-04-26T00:00:00Z,2025-04-27T00:00:00Z,2
BTC_GLOBAL,173,BULL,2025-04-28T00:00:00Z,2025-05-30T00:00:00Z,33
BTC_GLOBAL,174,BEAR,2025-05-31T00:00:00Z,2025-06-01T00:00:00Z,2
BTC_GLOBAL,175,TRANSITION,2025-06-02T00:00:00Z,2025-06-04T00:00:00Z,3
BTC_GLOBAL,176,SIDEWAYS,2025-06-05T00:00:00Z,2025-07-13T00:00:00Z,39
BTC_GLOBAL,177,TRANSITION,2025-07-14T00:00:00Z,2025-07-16T00:00:00Z,3
BTC_GLOBAL,178,BULL,2025-07-17T00:00:00Z,2025-07-30T00:00:00Z,14
BTC_GLOBAL,179,TRANSITION,2025-07-31T00:00:00Z,2025-08-06T00:00:00Z,7
BTC_GLOBAL,180,SIDEWAYS,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,7
BTC_GLOBAL,181,TRANSITION,2025-08-14T00:00:00Z,2025-08-20T00:00:00Z,7
BTC_GLOBAL,182,SIDEWAYS,2025-08-21T00:00:00Z,2025-09-01T00:00:00Z,12
BTC_GLOBAL,183,TRANSITION,2025-09-02T00:00:00Z,2025-09-02T00:00:00Z,1
BTC_GLOBAL,184,SIDEWAYS,2025-09-03T00:00:00Z,2025-10-02T00:00:00Z,30
BTC_GLOBAL,185,TRANSITION,2025-10-03T00:00:00Z,2025-10-05T00:00:00Z,3
BTC_GLOBAL,186,BULL,2025-10-06T00:00:00Z,2025-10-10T00:00:00Z,5
BTC_GLOBAL,187,BEAR,2025-10-11T00:00:00Z,2025-10-26T00:00:00Z,16
BTC_GLOBAL,188,BULL,2025-10-27T00:00:00Z,2025-10-27T00:00:00Z,1
BTC_GLOBAL,189,TRANSITION,2025-10-28T00:00:00Z,2025-11-06T00:00:00Z,10
BTC_GLOBAL,190,BEAR,2025-11-07T00:00:00Z,2025-12-22T00:00:00Z,46
BTC_GLOBAL,191,TRANSITION,2025-12-23T00:00:00Z,2025-12-28T00:00:00Z,6
BTC_GLOBAL,192,SIDEWAYS,2025-12-29T00:00:00Z,2026-01-05T00:00:00Z,8
BTC_GLOBAL,193,TRANSITION,2026-01-06T00:00:00Z,2026-01-12T00:00:00Z,7
BTC_GLOBAL,194,BULL,2026-01-13T00:00:00Z,2026-01-20T00:00:00Z,8
BTC_GLOBAL,195,BEAR,2026-01-21T00:00:00Z,2026-01-28T00:00:00Z,8
BTC_GLOBAL,196,TRANSITION,2026-01-29T00:00:00Z,2026-01-30T00:00:00Z,2
BTC_GLOBAL,197,BEAR,2026-01-31T00:00:00Z,2026-03-04T00:00:00Z,33
BTC_GLOBAL,198,BULL,2026-03-05T00:00:00Z,2026-03-06T00:00:00Z,2
BTC_GLOBAL,199,BEAR,2026-03-07T00:00:00Z,2026-03-10T00:00:00Z,4
BTC_GLOBAL,200,BULL,2026-03-11T00:00:00Z,2026-03-19T00:00:00Z,9
BTC_GLOBAL,201,TRANSITION,2026-03-20T00:00:00Z,2026-03-23T00:00:00Z,4
BTC_GLOBAL,202,SIDEWAYS,2026-03-24T00:00:00Z,2026-04-22T00:00:00Z,30
BTC_GLOBAL,203,TRANSITION,2026-04-23T00:00:00Z,2026-04-27T00:00:00Z,5
BTC_GLOBAL,204,BULL,2026-04-28T00:00:00Z,2026-04-29T00:00:00Z,2
BTC_GLOBAL,205,TRANSITION,2026-04-30T00:00:00Z,2026-05-03T00:00:00Z,4
BTC_GLOBAL,206,BULL,2026-05-04T00:00:00Z,2026-05-18T00:00:00Z,15
BTC_GLOBAL,207,BEAR,2026-05-19T00:00:00Z,2026-05-19T00:00:00Z,1
BTC_GLOBAL,208,TRANSITION,2026-05-20T00:00:00Z,2026-05-24T00:00:00Z,5
BTC_GLOBAL,209,SIDEWAYS,2026-05-25T00:00:00Z,2026-05-27T00:00:00Z,3
BTC_GLOBAL,210,TRANSITION,2026-05-28T00:00:00Z,2026-05-31T00:00:00Z,4
BTC_GLOBAL,211,BEAR,2026-06-01T00:00:00Z,2026-07-12T00:00:00Z,42
BTC_GLOBAL,212,TRANSITION,2026-07-13T00:00:00Z,2026-08-07T00:00:00Z,26
BTC_GLOBAL,213,SIDEWAYS,2026-08-08T00:00:00Z,2026-08-20T00:00:00Z,13
