strategy_id,btc_regime,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ClucHAnix_5m,BULL,TRANSITION,116,116,0,69.86784585,0.00334703960147,70,187.24951928,117.38167343,103.362068966,59,1.59521937121,0.603448275862
ClucHAnix_5m,SIDEWAYS,BEAR,32,32,0,47.24595902,0.00675346680672,24,66.16424847,18.91828945,84.53125,16,3.49736949764,0.75
ClucHAnix_5m,SIDEWAYS,BULL,76,76,0,82.95477461,0.00499965494103,52,156.40726374,73.45248913,96.9736842105,31,2.12936641893,0.684210526316
ClucHAnix_5m,SIDEWAYS,SIDEWAYS,137,137,0,140.8813294,0.00445878885755,88,287.59425709,146.71292769,110.03649635,48,1.96025163984,0.642335766423
ClucHAnix_5m,SIDEWAYS,TRANSITION,63,63,0,-64.90183549,-0.00459923852782,38,108.13741696,173.03925245,147.222222222,33,0.624929982238,0.603174603175
ClucHAnix_5m,TRANSITION,BEAR,63,63,0,10.87005963,0.000283568513019,38,128.24515693,117.3750973,123.174603175,30,1.09260958994,0.603174603175
ClucHAnix_5m,TRANSITION,BULL,183,183,0,121.76278175,0.00343824118252,116,394.18205533,272.41927358,115.901639344,59,1.44696830789,0.633879781421
ClucHAnix_5m,TRANSITION,SIDEWAYS,135,135,0,34.98778246,0.00111132730405,78,250.01670741,215.02892495,138,57,1.16271198151,0.577777777778
ClucHAnix_5m,TRANSITION,TRANSITION,136,136,0,56.69791099,0.00245444436952,73,230.89890774,174.20099675,107.977941176,59,1.32547409055,0.536764705882
ClucHAnix_5m1,BEAR,BEAR,319,319,0,-9.49903787,-0.000166625170221,190,334.61485434,344.11389221,111.598746082,103,0.972395657121,0.595611285266
ClucHAnix_5m1,BEAR,BULL,143,143,0,-13.28175954,0.000934047830256,91,165.17131102,178.45307056,79.1608391608,52,0.925572815876,0.636363636364
ClucHAnix_5m1,BEAR,SIDEWAYS,67,67,0,-34.98953454,-0.00325182693373,37,69.54547778,104.53501232,88.3582089552,32,0.665284063555,0.55223880597
ClucHAnix_5m1,BEAR,TRANSITION,82,82,0,10.19433006,0.000787846498355,51,95.75592223,85.56159217,125.426829268,48,1.1191461005,0.621951219512
ClucHAnix_5m1,BULL,BEAR,75,75,0,-9.7044643,-0.000330622076064,41,83.73314935,93.43761365,60.8666666667,25,0.896139638836,0.546666666667
