candidate_id,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
OversoldReversion-downtrend,TRANSITION,8,8,0,60.46343747,0.0701823036351,7,64.94851849,4.48508102,4320,8,14.4810134311,0.875
SARCross-sideways,BEAR,3,3,0,11.42385688,0.029198031058,3,11.42385688,0,111.666666667,2,inf,1
SARCross-sideways,BULL,5,5,0,14.55635572,0.0234064317201,5,14.55635572,0,18578,3,inf,1
SARCross-sideways,SIDEWAYS,16,16,0,67.46004197,0.0323745116356,15,67.46319997,0.003158,1553.4375,8,21362.6345693,0.9375
SARCross-sideways,TRANSITION,8,8,0,27.31362229,0.0260567190601,7,27.35258869,0.0389664,202.5,5,701.953187618,0.875
SARCross-transition,BEAR,7,7,0,6.00779757,0.00679828724157,7,6.00779757,0,332.857142857,5,inf,1
SARCross-transition,BULL,14,14,0,15.10679923,0.0087732263957,13,46.99977607,31.89297684,613.928571429,6,1.47367165837,0.928571428571
SARCross-transition,SIDEWAYS,23,23,0,26.75444658,0.00930813319766,21,54.15166246,27.39721588,433.695652174,12,1.97653888253,0.913043478261
SARCross-transition,TRANSITION,13,13,0,21.23157707,0.013093472125,11,21.26161817,0.0300411,338.461538462,10,707.750986815,0.846153846154
SimpleBollinger-downtrend,BEAR,28,28,0,58.25700209,0.0163596149342,26,58.25704431,4.222e-05,1656.25,22,1379844.72549,0.928571428571
SimpleBollinger-downtrend,BULL,2,2,0,0.82626354,0.00324850139172,2,0.82626354,0,342.5,2,inf,1
SimpleBollinger-downtrend,SIDEWAYS,3,3,0,0.86641234,0.00228652282259,2,0.87207436,0.00566202,5980,3,154.021773148,0.666666666667
SimpleBollinger-downtrend,TRANSITION,5,5,0,2.37006043,0.00379026127473,3,2.37456551,0.00450508,338,5,527.086202687,0.6
Squeeze001-downtrend,BEAR,69,69,0,83.16413571,0.00992082401427,53,144.90187131,61.7377356,915.942028986,41,2.34705516653,0.768115942029
Squeeze001-downtrend,BULL,23,23,0,-3.78228983,-0.000342323557503,16,57.98380293,61.76609276,747.391304348,16,0.938764301561,0.695652173913
Squeeze001-downtrend,SIDEWAYS,15,15,0,-39.28038872,-0.0202418967287,7,21.05693659,60.33732531,4103.33333333,11,0.348986907885,0.466666666667
Squeeze001-downtrend,TRANSITION,18,18,0,-20.99260422,-0.00846363877722,11,39.36729204,60.35989626,720.555555556,18,0.652209405239,0.611111111111
TheRealPullbackV2-sideways,BEAR,15,15,0,26.68839277,0.0132109904871,14,31.82842173,5.14002896,104.666666667,9,6.19226505876,0.933333333333
TheRealPullbackV2-sideways,BULL,21,21,0,28.85810443,0.0113191442927,14,56.04757823,27.1894738,90.7142857143,16,2.06137046426,0.666666666667
TheRealPullbackV2-sideways,SIDEWAYS,45,45,0,103.47976045,0.0167063594896,34,128.65330759,25.17354714,117.444444444,26,5.11065472317,0.755555555556
TheRealPullbackV2-sideways,TRANSITION,23,23,0,28.55627065,0.0100473884031,12,64.22011,35.66383935,90.652173913,15,1.8007065748,0.521739130435
adxbbrsi2-transition,BEAR,42,42,0,-9.39816122,-0.00172421915872,31,32.25315486,41.65131608,2922.85714286,28,0.774361002136,0.738095238095
adxbbrsi2-transition,BULL,25,25,0,22.89601596,0.0072457098941,20,22.92079286,0.0247769,1716,16,925.087192506,0.8
adxbbrsi2-transition,SIDEWAYS,50,50,0,35.59456244,0.00561686339328,42,35.62174813,0.02718569,4494,27,1310.31245225,0.84
adxbbrsi2-transition,TRANSITION,50,50,0,3.38246149,0.000741804374488,36,45.84904076,42.46657927,6236.4,32,1.07964996353,0.72
cryptotank-downtrend,BEAR,446,446,0,-30.91057143,0.00921291616233,348,593.50588619,624.41645762,1643.81165919,102,0.95049686623,0.780269058296
cryptotank-downtrend,BULL,99,99,0,-494.34124759,-0.0287864224306,60,147.56102208,641.90226967,3787.87878788,52,0.229880823067,0.606060606061
cryptotank-downtrend,SIDEWAYS,83,83,0,-85.01766359,0.00164357429991,68,81.0174297,166.03509329,1995.18072289,36,0.487953649404,0.819277108434
cryptotank-downtrend,TRANSITION,107,107,0,-170.57239152,0.00377915705873,80,140.82990829,311.40229981,2130.8411215,50,0.452244278144,0.747663551402
cryptotank-sideways,BEAR,30,30,0,146.71560118,0.0260327410967,30,146.71560118,0,2896,19,inf,1
cryptotank-sideways,BULL,75,75,0,-73.20257819,0.00712897341285,62,330.93696112,404.13953931,3082.4,32,0.818868061475,0.826666666667
cryptotank-sideways,SIDEWAYS,139,139,0,-116.92006336,0.00787056127607,114,492.77081593,609.69087929,3124.31654676,46,0.808230584823,0.820143884892
cryptotank-sideways,TRANSITION,78,78,0,-105.29137595,0.00609119120503,59,234.91717828,340.20855423,2930,29,0.69050932247,0.75641025641
cryptotank-transition,BEAR,66,66,0,-67.78808134,0.00755692318391,58,137.79728063,205.58536197,4339.09090909,31,0.670267957356,0.878787878788
cryptotank-transition,BULL,119,119,0,-331.41353779,-0.00406058443473,93,310.64084044,642.05437823,2621.8487395,49,0.48382325699,0.781512605042
cryptotank-transition,SIDEWAYS,93,93,0,-197.91955266,0.000975675064469,80,184.16556576,382.08511842,5265.80645161,39,0.482001409847,0.860215053763
cryptotank-transition,TRANSITION,86,86,0,62.92363445,0.00987233472595,78,231.43614526,168.51251081,5859.76744186,40,1.37340630762,0.906976744186
eltoro1_4-transition,BEAR,144,144,0,-20.7464382,0.00180022581583,123,290.06420203,310.81064023,5984.58333333,66,0.933250553505,0.854166666667
eltoro1_4-transition,BULL,71,71,0,-196.94841846,-0.0232322937275,52,160.35602979,357.30444825,6969.29577465,39,0.448793824357,0.732394366197
eltoro1_4-transition,SIDEWAYS,148,148,0,-194.096952,-0.0133244432333,123,292.85928054,486.95623254,9082.7027027,85,0.60140780828,0.831081081081
eltoro1_4-transition,TRANSITION,121,121,0,5.06068577,0.000951541872338,107,270.93672687,265.8760411,7702.80991736,67,1.01903400453,0.884297520661
eltoro1_4_simple-downtrend,BEAR,459,459,0,59.83356527,0.00530477654877,388,1638.62576493,1578.79219966,6401.96078431,165,1.03789831574,0.845315904139
eltoro1_4_simple-downtrend,BULL,104,104,0,-293.96080522,-0.0213393053576,76,446.18629598,740.1471012,8374.90384615,61,0.602834619303,0.730769230769
eltoro1_4_simple-downtrend,SIDEWAYS,92,92,0,-198.48416349,-0.0195515926966,68,325.10894491,523.5931084,7735.76086957,56,0.620919068059,0.739130434783
eltoro1_4_simple-downtrend,TRANSITION,110,110,0,80.28075541,0.0109786224001,95,430.28611868,350.00536327,5525.31818182,71,1.2293700721,0.863636363636
