candidate_id,btc_regime,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
BB_RTR-sideways,TRANSITION,SIDEWAYS,48,48,0,51.08832924,0.00774892519631,33,108.84470289,57.75637365,96.1458333333,15,1.88454876945,0.6875
BB_RTR-transition,BEAR,TRANSITION,26,26,0,5.8031415,0.00170228116704,18,48.78788367,42.98474217,155.576923077,14,1.13500468322,0.692307692308
BB_RTR-transition,BULL,TRANSITION,39,39,0,82.23602719,0.0161250431599,26,97.33726016,15.10123297,96.5384615385,13,6.44564985875,0.666666666667
BB_RTR-transition,SIDEWAYS,TRANSITION,35,35,0,27.70073564,0.0058913016608,18,76.4107137,48.70997806,69.2857142857,13,1.56868708924,0.514285714286
BB_RTR-transition,TRANSITION,TRANSITION,37,37,0,28.97387192,0.00597637693997,18,48.39020076,19.41632884,59.1891891892,15,2.4922425428,0.486486486486
BigTrader-sideways,BEAR,SIDEWAYS,5,5,0,26.17665473,0.0410521886058,5,26.17665473,0,4,2,inf,1
BigTrader-sideways,BULL,SIDEWAYS,6,6,0,19.12911353,0.022737220716,6,19.12911353,0,5,2,inf,1
BigTrader-sideways,SIDEWAYS,SIDEWAYS,12,12,0,46.01275056,0.0283201993994,12,46.01275056,0,60.8333333333,5,inf,1
BigTrader-sideways,TRANSITION,SIDEWAYS,14,14,0,52.55554012,0.0291571682674,14,52.55554012,0,1739.28571429,7,inf,1
BigTrader-transition,BEAR,TRANSITION,6,6,0,21.79592568,0.0282478888987,6,21.79592568,0,269.166666667,4,inf,1
BigTrader-transition,BULL,TRANSITION,9,9,0,36.02862966,0.0308049713907,9,36.02862966,0,1440.55555556,4,inf,1
BigTrader-transition,SIDEWAYS,TRANSITION,8,8,0,33.72069735,0.0317496546538,8,33.72069735,0,81.875,5,inf,1
BigTrader-transition,TRANSITION,TRANSITION,7,7,0,22.42064856,0.0247887197962,7,22.42064856,0,441.428571429,5,inf,1
Cenderawasih_3_kucoin-sideways,BEAR,SIDEWAYS,7,7,0,6.33114019,0.00754144574876,2,11.75461083,5.42347064,2.85714285714,3,2.16735953972,0.285714285714
Cenderawasih_3_kucoin-sideways,BULL,SIDEWAYS,10,10,0,3.0536536,0.00250918263232,3,11.76307477,8.70942117,9.5,5,1.35061498811,0.3
Cenderawasih_3_kucoin-sideways,SIDEWAYS,SIDEWAYS,14,14,0,-0.72312241,-0.000440271705161,5,9.62038384,10.34350625,18.5714285714,6,0.93008923739,0.357142857143
Cenderawasih_3_kucoin-sideways,TRANSITION,SIDEWAYS,17,17,0,-14.63493339,-0.00689361900224,6,17.37920831,32.0141417,36.1764705882,6,0.542860354429,0.352941176471
CryptoFrog_nateema-transition,BEAR,TRANSITION,314,314,0,28.64129174,0.000871520245814,249,567.06975073,538.42845899,168.678343949,86,1.05319423827,0.792993630573
CryptoFrog_nateema-transition,BULL,BULL,2,2,0,-10.4989536,-0.0379881270476,1,1.4860152,11.9849688,245,2,0.123989909761,0.5
CryptoFrog_nateema-transition,BULL,TRANSITION,196,196,0,81.6212807,0.00328551245468,153,379.29138042,297.67009972,190.816326531,60,1.27420046816,0.780612244898
CryptoFrog_nateema-transition,SIDEWAYS,TRANSITION,206,206,0,51.84913005,0.00196913494527,162,341.94200932,290.09287927,188.762135922,54,1.17873286025,0.78640776699
CryptoFrog_nateema-transition,TRANSITION,TRANSITION,298,298,0,-40.74868754,-0.000894389832137,232,387.84543927,428.59412681,229.110738255,80,0.904924764501,0.778523489933
CustomStoplossWithPSAR-downtrend,BEAR,BEAR,44,44,0,6436.42493058,1.17062345428,17,9226.29759482,2789.87266424,416151.818182,26,3.30706763541,0.386363636364
CustomStoplossWithPSAR-downtrend,BULL,BEAR,1,1,0,146.97227834,1.16781370199,1,146.97227834,0,717120,1,inf,1
CustomStoplossWithPSAR-downtrend,SIDEWAYS,BEAR,2,2,0,-233.76708994,-0.201396164014,0,0,233.76708994,54210,2,0,0
CustomStoplossWithPSAR-downtrend,TRANSITION,BEAR,11,11,0,362.392375,0.0647257260941,3,1152.73338442,790.34100942,561447.272727,10,1.45852659887,0.272727272727
E0V1E_protections-sideways,BEAR,SIDEWAYS,9,9,0,57.05355419,0.048797314802,9,57.05355419,0,19.4444444444,5,inf,1
E0V1E_protections-sideways,BULL,SIDEWAYS,13,13,0,47.25650412,0.0266723950048,9,50.66896019,3.41245607,13.8461538462,6,14.8482380874,0.692307692308
E0V1E_protections-sideways,SIDEWAYS,SIDEWAYS,16,16,0,62.25912405,0.0278153886106,12,65.89924373,3.64011968,15.9375,7,18.1035926077,0.75
E0V1E_protections-sideways,TRANSITION,SIDEWAYS,22,22,0,54.77608913,0.0180573278676,18,88.20857684,33.43248771,96.8181818182,9,2.63840901117,0.818181818182
FSampleStrategy-sideways,BEAR,SIDEWAYS,59,59,0,-235.43785306,-0.0162206652223,2,454.4334286,689.87128166,9650.84745763,42,0.658722055376,0.0338983050847
